phenotype	description	group	phenocode	description_more	coding	coding_description	pops	num_pops	pops_pass_qc	num_pops_pass_qc	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	aws_link	wget	size_in_bytes	description_panUKB	proxy_GWAS	short_label	use_in_analysis
735.3	Hallux valgus (Bunion)	musculoskeletal	735.3	NA		NA	AFR,CSA,EUR	3	AFR,EUR	2	7857	7098	758	7769	7026	742	113	NA	88	NA	7656	NA	6384	NA	8636	NA	403527	NA	phecode-735.3-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-735.3-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-735.3-both_sexes.tsv.bgz	1887441947	Hallux valgus (Bunion)	FALSE	Bunion	TRUE
740	Osteoarthrosis	musculoskeletal	740	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	37256	21957	15298	36706	21555	15150	423	53	547	74	36073	86	6213	927	8329	2635	384458	1513	phecode-740-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz	2757905300	Osteoarthrosis	FALSE	Osteoarthrosis	TRUE
743.1	Osteoporosis	musculoskeletal	743.1	NA		NA	AFR,CSA,EUR	3	AFR,EUR	2	8128	6797	1331	7991	6682	1309	54	NA	137	NA	7937	NA	6566	NA	8708	NA	411038	NA	phecode-743.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743.1-both_sexes.tsv.bgz	1864550728	Osteoporosis	FALSE	Osteoporosis	TRUE
785	Abdominal pain	symptoms	785	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	50195	32241	17950	48532	31044	17486	998	141	1237	289	47295	235	5638	839	7639	2420	373236	1364	phecode-785-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-785-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-785-both_sexes.tsv.bgz	2816833065	Abdominal pain	FALSE	Abdominal pain	TRUE
790.6	Other abnormal blood chemistry	symptoms	790.6	NA		NA	AFR,CSA,EUR	3		0	8821	2176	6645	NA	NA	NA	161	NA	167	NA	8493	NA	6466	NA	8700	NA	411762	NA	phecode-790.6-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-790.6-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-790.6-both_sexes.tsv.bgz	1687200922	Other abnormal blood chemistry	FALSE	Abnormal blood chemistry	FALSE
960.2	Allergy/adverse effect of penicillin	injuries & poisonings	960.2	NA		NA	AFR,CSA,EAS,EUR,MID	5	CSA,EUR	2	20918	13612	7306	20455	13243	7212	298	NA	434	93	20021	72	6089	NA	8150	2535	383239	1478	phecode-960.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-960.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-960.2-both_sexes.tsv.bgz	2495310443	Allergy/adverse effect of penicillin	FALSE	Penicillin allergy	TRUE
abnormal_appetite	Recent poor appetite or overeating	symptoms	20511	Question asked: "Over the last 2 weeks, how often have you been bothered by any of the following problems? [depressive symptoms] Poor appetite or overeating"		NA	CSA,EAS,EUR,MID	4		0	138224	77637	60584	NA	NA	NA	NA	NA	1174	596	136172	282	NA	NA	NA	NA	NA	NA	continuous-20511-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20511-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20511-both_sexes.tsv.bgz	1403944036	Recent poor appetite or overeating	FALSE	Abnormal appetite	FALSE
albumin	Albumin	biological measures	30600	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	385205	206653	178552	374886	200630	174256	5759	856	7694	2340	367192	1364	NA	NA	NA	NA	NA	NA	biomarkers-30600-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz	2371951142	Albumin	FALSE	Albumin	TRUE
ankle_spacing	Ankle spacing width	physical measures	3143	Ankle width as indicated by the spacing between measurement transducer pads on heel		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	250303	135559	114739	245561	132826	112730	2295	471	2635	1262	242926	714	NA	NA	NA	NA	NA	NA	continuous-3143-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3143-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3143-both_sexes-irnt.tsv.bgz	2306369824	Ankle spacing width	FALSE	Ankle spacing	TRUE
apoA	Apolipoprotein A	biological measures	30630	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	382929	204746	178183	374026	199335	174691	5732	846	7679	2325	364987	1360	NA	NA	NA	NA	NA	NA	biomarkers-30630-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz	2381118457	Apolipoprotein A	FALSE	Apolipoprotein A	TRUE
apoB	Apolipoprotein B	biological measures	30640	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	418505	226483	192022	408851	220566	188285	6169	932	8352	2553	399003	1496	NA	NA	NA	NA	NA	NA	biomarkers-30640-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz	2389221510	Apolipoprotein B	FALSE	Apolipoprotein B	TRUE
bad_hearing	Hearing difficulty/problems	physical measures	2247	ACE touchscreen question "Do you have any difficulty with your hearing?" The option to identify oneself as completely deaf was added in 2009 alongside the introduction of the speech-in-noise test.	1	Yes	AFR,AMR,CSA,EAS,EUR,MID	6		0	109047	48661	60384	NA	NA	NA	713	161	1551	328	106042	252	5526	739	6663	2161	297576	1223	categorical-2247-both_sexes-1.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-2247-both_sexes-1.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-2247-both_sexes-1.tsv.bgz	2485114797	Hearing difficulty/problems	FALSE	Hearing problems	TRUE
birth_weight	Birth weight	physical measures	20022	Participants were asked to enter their own birth-weight.  The weight could be entered either in Kg or in Imperial pounds+ounces. Values entered as Imperial units are held in ~F121~ and ~F122~, and their values have been converted into Kg and incorporated into this field.   This question was dropped from the touchscreen protocol on 24/10/2016.		NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	245564	149330	96226	NA	NA	NA	1780	423	2177	1003	239716	465	NA	NA	NA	NA	NA	NA	continuous-20022-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20022-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20022-both_sexes-irnt.tsv.bgz	2032082435	Birth weight	FALSE	Birth weight	TRUE
calcium	Calcium	biological measures	30680	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	385066	206581	178485	374747	200556	174191	5758	856	7697	2344	367050	1361	NA	NA	NA	NA	NA	NA	biomarkers-30680-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz	2371776095	Calcium	FALSE	Calcium	TRUE
cholesterol	Cholesterol	biological measures	30690	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	420607	227266	193341	409385	220671	188714	6212	938	8422	2572	400963	1500	NA	NA	NA	NA	NA	NA	biomarkers-30690-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz	2378019333	Cholesterol	FALSE	Cholesterol	TRUE
darker_skin0	Skin colour	physical measures	1717	ACE touchscreen question "What best describes the colour of your skin without tanning?"  If the participant activated the Help button they were shown the message:        If you are unsure, please provide an estimate or select Do not know.           This question was dropped from the touchscreen protocol on 24/10/2016.		NA	AFR,CSA,EAS,EUR,MID	5	CSA,EUR,MID	3	434685	235578	199106	424993	229634	195358	6429	NA	8483	2332	415018	1492	NA	NA	NA	NA	NA	NA	continuous-1717-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-1717-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-1717-both_sexes.tsv.bgz	2205125005	Skin colour	FALSE	Skin color	TRUE
depressed_for_1w	Ever depressed for a whole week	psychiatric disorders	4598	ACE touchscreen question "Looking back over your life, have you ever had a time when you were feeling depressed or down for at least a whole week?"  Question was introduced part way through fieldwork in April 2009.	4598	NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	77702	46641	31056	NA	NA	NA	1738	219	2114	458	72832	341	1963	201	2995	661	62800	324	categorical-4598-both_sexes-4598.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-4598-both_sexes-4598.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-4598-both_sexes-4598.tsv.bgz	2454492968	Ever depressed for a whole week	FALSE	Weeklong depression	TRUE
depression_feelings	Recent feelings of depression	psychiatric disorders	20510	Question asked: "Over the last 2 weeks, how often have you been bothered by any of the following problems? [depressive symptoms] Feeling down, depressed, or hopeless"		NA	AFR,AMR,EAS,EUR	4		0	137939	77685	60251	NA	NA	NA	931	252	NA	590	135888	NA	NA	NA	NA	NA	NA	NA	continuous-20510-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20510-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20510-both_sexes.tsv.bgz	1525538671	Recent feelings of depression	FALSE	Recent depression	TRUE
depression_stress_trauma	Depression possibly related to stressful or traumatic event	psychiatric disorders	20447	Question asked: "Did this worst period start within two months of the death of someone close to you or after a stressful or traumatic event in your life?"  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.	20447	NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	57341	39287	18052	NA	NA	NA	333	122	437	212	56128	109	126	35	154	82	20618	40	categorical-20447-both_sexes-20447.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20447-both_sexes-20447.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20447-both_sexes-20447.tsv.bgz	2238537116	Depression possibly related to stressful or traumatic event	FALSE	Stress depression	FALSE
diastolic_BP	Diastolic blood pressure, automated reading	physical measures	4079	Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart.  Range returned by the Omron device is is 0-255		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	416959	225161	191786	405308	218306	186992	6551	959	8641	2600	396667	1541	NA	NA	NA	NA	NA	NA	continuous-4079-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4079-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4079-both_sexes-irnt.tsv.bgz	2379560850	Diastolic blood pressure, automated reading	FALSE	Diastolic BP	TRUE
drink_alcohol	Alcohol drinker status	lifestyle and environment	20117	NA	2	Current	AFR,AMR,CSA,EAS,EUR,MID	6	AFR,CSA,EUR,MID	4	405762	215982	189771	402911	214164	188738	5189	868	4618	1983	392125	979	1355	95	4030	673	27811	580	categorical-20117-both_sexes-2.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20117-both_sexes-2.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20117-both_sexes-2.tsv.bgz	2761045820	Alcohol drinker status	FALSE	Alcohol drinker	TRUE
ECG_P_duration	P duration	physical measures	12338	P duration during ECG		NA	AFR,EAS,EUR	3		0	31207	16204	15003	NA	NA	NA	193	NA	NA	162	30796	NA	NA	NA	NA	NA	NA	NA	continuous-12338-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-12338-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-12338-both_sexes-irnt.tsv.bgz	1194041456	P duration	FALSE	ECG P duration	TRUE
erythrocyte	Red blood cell (erythrocyte) count	biological measures	30010	Result of "Red Blood Cell Count" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes.   Analyser operating range was 0 to 2x10^13 cells/Litre.   Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre.		NA	AFR,AMR,CSA,EAS,EUR,MID	6	AFR,CSA,EUR,MID	4	427938	230841	197095	424356	228494	195860	6281	950	8532	2632	407995	1548	NA	NA	NA	NA	NA	NA	continuous-30010-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30010-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30010-both_sexes-irnt.tsv.bgz	2340369007	Red blood cell (erythrocyte) count	FALSE	RBC count	TRUE
erythrocyte_width	Red blood cell (erythrocyte) distribution width	biological measures	30070	Result of "Red Distribution Width" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution.		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	427936	230840	197094	418073	224813	193258	6281	950	8532	2632	407993	1548	NA	NA	NA	NA	NA	NA	continuous-30070-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30070-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30070-both_sexes-irnt.tsv.bgz	2391626548	Red blood cell (erythrocyte) distribution width	FALSE	RBC distribution width	TRUE
ever_addicted	Ever addicted to any substance or behaviour	lifestyle and environment	20401	Question asked: "Have you been addicted to or dependent on one or more things, including substances (not cigarettes/coffee) or behaviours (such as gambling)?"	20401	NA	CSA,EUR	2		0	8085	3888	4196	NA	NA	NA	NA	NA	56	NA	8029	NA	NA	NA	1116	NA	126810	NA	categorical-20401-both_sexes-20401.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20401-both_sexes-20401.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20401-both_sexes-20401.tsv.bgz	1144600510	Ever addicted to any substance or behaviour	FALSE	Ever substance addicted	FALSE
ever_cannabis	Ever taken cannabis	lifestyle and environment	20453	Question asked: "Have you taken CANNABIS (marijuana, grass, hash, ganja, blow, draw, skunk, weed, spliff, dope), even if it was a long time ago?"		NA	CSA,EUR,MID	3		0	137631	77254	60374	NA	NA	NA	NA	NA	1181	NA	136168	282	NA	NA	NA	NA	NA	NA	continuous-20453-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20453-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20453-both_sexes.tsv.bgz	1235029595	Ever taken cannabis	FALSE	Ever taken cannabis	TRUE
ever_smoked	Ever smoked	lifestyle and environment	20160	Derived using variables "Current tobacco smoking" (~F1239~) and "Past tobacco smoking" (~F1249~).  Individual classed as Eversmoker if Current tobacco smoking= most days (1) or occasionally (2) OR Past tobacco smoking= most days (1) or occasionally (2) or tried once or twice (3).   Individual were classed as Neversmoker if Current tobacco smoking= no (0) AND Past tobacco smoking= never (4).   Individuals who answered to either question "Do not know" (-1) "Prefer not to answer" (-3) and "None of the above" (-7) were not coded.   This derived data field has come from Professor Martin Tobin at the University of Leicester.	20160	NA	AFR,AMR,CSA,EAS,EUR,MID	6	AFR,CSA,EUR	3	261563	130295	131259	258982	129079	129894	2749	602	2726	1049	253507	930	3783	361	5909	1600	165353	634	categorical-20160-both_sexes-20160.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20160-both_sexes-20160.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20160-both_sexes-20160.tsv.bgz	2838209013	Ever smoked	FALSE	Ever smoked	TRUE
F_age_first_birth	Age at first live birth	sex-specific factors	2754	ACE touchscreen question "How old were you when you had your FIRST child?" The following checks were performed:  If answer   If answer > 65 then rejected  If answer > Participants age then rejected  If answer   If answer   If answer > 48 then participant asked to confirm  If answer > Age when periods stopped then participant asked to confirm   ~F2754~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~		NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	162699	162693	0	NA	NA	NA	2478	349	2931	906	155604	431	NA	NA	NA	NA	NA	NA	continuous-2754-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2754-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2754-both_sexes-irnt.tsv.bgz	2031745001	Age at first live birth	FALSE	First birth age	TRUE
F_irregular_menstrual_cycle	Length of menstrual cycle	sex-specific factors	3710	ACE touchscreen question "How many days is your usual menstrual cycle? (The number of days between each menstrual period)" The following checks were performed:  If answer   If answer > 365 then rejected  If answer   If answer > 60 then participant asked to confirm   ~F3710~ was collected from women who indicated that their periods had not stopped (menopause), as defined by their answers to ~F2724~		NA	AFR,AMR,CSA,EAS,EUR	5		0	41152	41150	0	NA	NA	NA	1082	178	1053	566	38273	NA	NA	NA	NA	NA	NA	NA	continuous-3710-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3710-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3710-both_sexes.tsv.bgz	1735594299	Length of menstrual cycle	FALSE	Irregular menstrual cycle	FALSE
F_length_menstrual_cycle	Length of menstrual cycle	sex-specific factors	3710	ACE touchscreen question "How many days is your usual menstrual cycle? (The number of days between each menstrual period)" The following checks were performed:  If answer   If answer > 365 then rejected  If answer   If answer > 60 then participant asked to confirm   ~F3710~ was collected from women who indicated that their periods had not stopped (menopause), as defined by their answers to ~F2724~		NA	AFR,AMR,CSA,EAS,EUR	5		0	41152	41150	0	NA	NA	NA	1082	178	1053	566	38273	NA	NA	NA	NA	NA	NA	NA	continuous-3710-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3710-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3710-both_sexes.tsv.bgz	1735594299	Length of menstrual cycle	FALSE	Menstrual cycle length	TRUE
F_menarche	Age when periods started (menarche)	sex-specific factors	2714	ACE touchscreen question "How old were you when your periods started?" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer > 25 then rejected  If answer   If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.		NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	231373	231364	0	NA	NA	NA	3601	607	3732	1662	221139	632	NA	NA	NA	NA	NA	NA	continuous-2714-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2714-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2714-both_sexes.tsv.bgz	2055251398	Age when periods started (menarche)	FALSE	Menarche	TRUE
fall_1y	Falls in the last year	injuries & poisonings	2296	ACE touchscreen question "In the last year have you had any falls?"		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	439570	237706	201850	428001	230885	197104	6497	949	8429	2596	419572	1527	NA	NA	NA	NA	NA	NA	continuous-2296-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2296-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2296-both_sexes.tsv.bgz	2375315675	Falls in the last year	FALSE	Falls (1yr)	TRUE
fat_perc	Body fat percentage	physical measures	23099	Body composition estimation by impedance measurement. Body fat percentage Body fat percentage. Range 1% - 75% in 0.1% increments.		NA	AFR,CSA,EAS,EUR,MID	5	CSA,EUR,MID	3	432262	233988	198260	423149	228436	194699	6455	NA	8654	2658	412960	1535	NA	NA	NA	NA	NA	NA	continuous-23099-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23099-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23099-both_sexes-irnt.tsv.bgz	2207383420	Body fat percentage	FALSE	Body fat %	TRUE
FEV1	Forced expiratory volume in 1-second (FEV1), Best measure	physical measures	20150	Highest measure from the array of values for Forced Expiratory Volume in 1-second (FEV1) ~F3063~, which was "acceptable" according to corresponding acceptability field (~F3061~). A blow was deemed acceptable if recorded as 0 (no problems) or 32 (0x20 - "USER_ACCEPTED").   This derived data field has come from Professor Martin Tobin at the University of Leicester.		NA	EUR,MID	2		0	317259	169700	147549	NA	NA	NA	NA	NA	NA	NA	316932	327	NA	NA	NA	NA	NA	NA	continuous-20150-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20150-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20150-both_sexes-irnt.tsv.bgz	993902896	Forced expiratory volume in 1-second (FEV1), Best measure	FALSE	FEV1	TRUE
fluid_intelligence	Fluid intelligence score	physical measures	20016	This is a simple unweighted sum of the number of correct answers given to the 13 fluid intelligence questions. Participants who did not answer all of the questions within the allotted 2 minute limit are scored as zero for each of the unattempted questions.		NA	AFR,AMR,CSA,EAS,EUR	5	CSA,EUR	2	144009	77776	66229	139298	74772	64522	3280	395	4210	1036	135088	NA	NA	NA	NA	NA	NA	NA	continuous-20016-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20016-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20016-both_sexes-irnt.tsv.bgz	2080327788	Fluid intelligence score	FALSE	Fluid intelligence	TRUE
foreboding_feelings	Recent feelings of foreboding	psychiatric disorders	20512	Question asked: "Over the last 2 weeks, how often have you been bothered by any of the following problems? [anxiety symptoms] Feeling afraid as if something awful might happen"		NA	AFR,AMR,CSA,EAS,EUR,MID	6	EUR,MID	2	138894	78040	60851	135965	76404	59558	928	251	1162	588	135687	278	NA	NA	NA	NA	NA	NA	continuous-20512-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20512-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20512-both_sexes.tsv.bgz	2209493145	Recent feelings of foreboding	FALSE	Foreboding feelings	TRUE
fracture_5y	Fractured/broken bones in last 5 years	injuries & poisonings	2463	ACE touchscreen question "Have you fractured/broken any bones in the last 5 years?"	2463	NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	41665	24428	17233	40974	24017	16953	371	68	554	128	40420	124	6111	891	8044	2505	377841	1430	categorical-2463-both_sexes-2463.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-2463-both_sexes-2463.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-2463-both_sexes-2463.tsv.bgz	2765696792	Fractured/broken bones in last 5 years	FALSE	Fractured bones (5yr)	TRUE
FVC	Forced vital capacity (FVC), Best measure	physical measures	20151	Highest measure from the array of values for Forced Vital Capacity (FVC) (~F3062~), which was "acceptable" according to corresponding acceptability field (~F3061~). A blow was deemed acceptable if recorded as 0 (no problems) or 32 (0x20 - "USER_ACCEPTED").   This derived data field has come from Professor Martin Tobin at the University of Leicester.		NA	EUR,MID	2		0	317259	169700	147549	NA	NA	NA	NA	NA	NA	NA	316932	327	NA	NA	NA	NA	NA	NA	continuous-20151-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20151-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20151-both_sexes-irnt.tsv.bgz	994465742	Forced vital capacity (FVC), Best measure	FALSE	FVC	TRUE
